WKT,nome,descrição
"POINT (-39.1454539 -7.2496697)",Missão Velha,
"POINT (-39.6269112 -5.7419856)",Mombaça,
"POINT (-40.0635244 -4.790514)",Monsenhor Tabosa,
"POINT (-38.371994 -5.1084431)",Morada Nova,
"POINT (-40.6783982 -3.4670355)",Moraújo,
"POINT (-40.1258232 -3.2270469)",Morrinhos,
"POINT (-40.74501850000001 -3.9056382)",Mucambo,
"POINT (-38.9947042 -4.3037643)",Mulungu,
"POINT (-39.67962069999999 -7.0917903)",Nova Olinda,
"POINT (-40.5626139 -4.7066511)",Nova Russas,
"POINT (-40.7736951 -5.5374178)",Novo Oriente,
"POINT (-38.5978284 -4.4909023)",Ocara,
"POINT (-38.91410549999999 -6.2428527)",Orós,
"POINT (-38.4637749 -4.1733126)",Pacajus,
"POINT (-38.603557 -3.918004)",Pacatuba,
"POINT (-38.9208831 -4.2254002)",Pacoti,
"POINT (-40.6965428 -3.9807658)",Pacujá,
"POINT (-37.9618088 -4.7474946)",Palhano,
"POINT (-38.84605639999998 -4.1477909)",Palmácia,
"POINT (-39.03015329999999 -3.4104618)",Paracuru,
"POINT (-39.1482338 -3.43766)",Paraipaba,
"POINT (-40.6965725 -6.2135387)",Parambu,
"POINT (-39.2391473 -4.1000116)",Paramoti,
"POINT (-39.716378 -5.4542087)",Pedra Branca,
"POINT (-39.07220149999999 -7.829928400000001)",Penaforte,
"POINT (-39.2709336 -3.7918801)",Pentecoste,
"POINT (-38.460721 -6.043627499999999)",Pereiro,
"POINT (-38.3036892 -4.0304585)",Pindoretama,
"POINT (-39.41709549999999 -5.8036204)",Piquet Carneiro,
"POINT (-40.6446312 -4.2448936)",Pires Ferreira,
"POINT (-40.92504219999999 -4.7443818)",Poranga,
"POINT (-39.11688609999999 -7.534395200000001)",Porteiras,
"POINT (-40.0273072 -7.0907724)",Potengi,
"POINT (-38.1539198 -5.7234148)",Potiretama,
"POINT (-40.703691 -5.845551599999999)",Quiterianópolis,
"POINT (-39.0161259 -4.9684385)",Quixadá,
"POINT (-39.19886169999999 -6.2525243)",Quixelô,
"POINT (-39.2955312 -5.1982962)",Quixeramobim,
"POINT (-37.9894863 -5.072829099999999)",Quixeré,
"POINT (-38.7302215 -4.2238817)",Redenção,
"POINT (-40.5815662 -4.1431403)",Reriutaba,
"POINT (-37.976262 -4.9414188)",Russas,
"POINT (-39.90627509999999 -6.540717099999999)",Saboeiro,
"POINT (-40.4563314 -7.2828464)",Salitre,
"POINT (-40.15483090000001 -4.3356543)",Santa Quitéria,
"POINT (-40.20922429999999 -3.461748)",Santana do Acaraú,
"POINT (-39.7373633 -7.1856327)",Santana do Cariri,
"POINT (-40.8651372 -4.0449071)",São Benedito,
